,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT),SUM(SALES_VALUE_TOT)
,2019-05,00000451100036400700,380.65,15721025.5
,2019-05,00000171612565130200,3251.36,140265407.4
,2019-05,00000471307508130200,1151.56,49363819.32
,2019-05,00000171409090410100,188.1,8217613.1
,2019-05,00000000000611100716,1178.28,38196870.6
,2019-05,00000151200032800300,9871.69,402184837.9
,2019-05,00000171409090210100,5764.11,214273038.4
,2019-05,00000471100060400700,6.08,252684.8
,2019-05,00000171407777400400,116.39,4756290.8
,2019-05,00000171409090400300,698.51,28154807.95
,2019-05,00000161200008800101,6117.53,266484725.5
,2019-04,00000461800505520501,703.95,34838831.75
,2019-05,00000471100053600200,117.76,5282473.6
,2019-05,00000161200008120201,2336.72,101052179.6
,2019-04,00000451100032330200,2424.38,100765389.1
,2019-05,00000451100025130200,1209.88,47530922.52
,2019-04,00000471100063330226,62.7,2617910
,2019-05,00000471100071130200,561.71,21553169.4
,2019-04,00000171407777350100,334.28,14634778.4
,2019-04,00000471100050330200,1281.77,53950280.55
,2019-04,00000471100068330200,370.5,15508434.2
,2019-04,00000171407777100700,11788.89,382094866.3
,2019-04,00000471100056400700,145.94,6783371.9
,2019-04,00000171407777400300,585.6,25305713.5
,2019-04,00000171409090400300,789.47,33716532.75
,2019-04,00000471100056130200,554.23,23047955.65
,2019-11,00000151200025800300,22887.84,781468618.1
,2019-11,00000461800505301201,10251.32,359656300.2
,2019-11,00000461800018330201,1968.65,68650425.65
,2019-04,00000000000615100716,494.36,16893406
,2019-11,00000000000006211601,3050.36,65986140
,2019-11,00000000000006321309,2895.62,3303052
,2019-04,00000000000615100700,463.1,16267577
,2019-04,00000000000006211900,791.76,30856950
,2019-04,00000000000006321306,1224.36,5993310
,2019-04,00000000000006321309,3231.7,3234171.8
,2019-04,00000169900000999999,56.54,1039900
,2019-04,00000171100071330200,96.7,4199520.6
,2019-04,00000171100080400300,227.3,10398744.8
,2019-05,00000461800007530101,877.94,42184349
,2019-04,00000171406565350100,349.58,14787234
,2019-05,00000000000612100716,934.23,30282991.9
,2019-04,00000471100045409900,101.3,4512972.25
,2019-05,00000461800012330201,551.9,24910612.5
,2019-11,00000000000004500023,1249.08,23395891
,2019-11,00000461800016400301,528.68,19411419.1
,2019-11,00000171612565130200,4112.75,145917942
,2019-05,00000171612565130205,75.74,3267406
,2019-11,00000471100045400300,1152.48,41999055.4
,2019-11,00000171409090400300,983.19,35795535
,2019-04,00000471307506130200,697.03,30235935.15
,2019-05,00000171407777400300,800.8,31913536.3
,2019-05,00000000000006211601,1606.54,50766664
,2019-11,00000471104605400300,165.92,6271912.2
