Unnamed: 0,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT)
,2019-05,451100036400700,380.65
,2019-05,171612565130200,3251.36
,2019-05,471307508130200,1151.56
,2019-05,171409090410100,188.1
,2019-05,611100716,1178.28
,2019-05,151200032800300,9871.69
,2019-05,171409090210100,5764.11
,2019-05,471100060400700,6.08
,2019-05,171407777400400,116.39
,2019-05,171409090400300,698.51
,2019-05,161200008800101,6117.53
,2019-04,461800505520501,703.95
,2019-05,471100053600200,117.76
,2019-05,161200008120201,2336.72
,2019-04,451100032330200,2424.38
,2019-05,451100025130200,1209.88
,2019-04,471100063330226,62.7
,2019-05,471100071130200,561.71
,2019-04,171407777350100,334.28
,2019-04,471100050330200,1281.77
,2019-04,471100068330200,370.5
,2019-04,171407777100700,11788.89
,2019-04,471100056400700,145.94
,2019-04,171407777400300,585.6
,2019-04,171409090400300,789.47
,2019-04,471100056130200,554.23
,2019-11,151200025800300,22887.84
,2019-11,461800505301201,10251.32
,2019-11,461800018330201,1968.65
,2019-04,615100716,494.36
,2019-11,6211601,3050.36
,2019-11,6321309,2895.62
,2019-04,615100700,463.1
,2019-04,6211900,791.76
,2019-04,6321306,1224.36
,2019-04,6321309,3231.7
,2019-04,169900000999999,56.54
,2019-04,171100071330200,96.7
,2019-04,171100080400300,227.3
,2019-05,461800007530101,877.94
,2019-04,171406565350100,349.58
,2019-05,612100716,934.23
,2019-04,471100045409900,101.3
,2019-05,461800012330201,551.9
,2019-11,4500023,1249.08
,2019-11,461800016400301,528.68
,2019-11,171612565130200,4112.75
,2019-05,171612565130205,75.74
,2019-11,471100045400300,1152.48
,2019-11,171409090400300,983.19
,2019-04,471307506130200,697.03
,2019-05,171407777400300,800.8
,2019-05,6211601,1606.54
,2019-11,471104605400300,165.92
,2019-05,6211610,652.42
,2019-05,6311304,2035.9
,2019-04,451100028130200,583.46
,2019-05,451900022400301,59.08
,2019-11,471309006130200,580.74
,2019-11,6324302,14828.05
,2019-04,161200012810503,2.38
,2019-10,461800020330201,139.8
,2019-10,151200025800300,19431.92
,2019-10,161200010800303,255.98
,2019-05,461800018330201,409.51
,2019-10,461800012400301,123.5
,2019-05,451900020330201,116.39
,2019-05,461800505301301,192.11
,2019-05,451900028310101,25.1
,2019-10,6313101,114991.07
,2019-05,471100068330200,289.08
,2019-10,171407777350100,225.94
,2019-05,461800008520501,4.2
,2019-05,461800016400701,178.03
,2019-10,471100053331700,124.2
,2019-05,171407777330800,491.77
,2019-10,461800505110101,2121.12
,2019-10,461800016310201,346.75
,2019-05,151200025810500,590.56
,2019-05,161200008800303,367.38
,2019-04,151200036800300,647.53
,2019-05,171100075400300,31.16
,2019-10,614400700,10.72
,2019-05,615100600,216.88
,2019-04,171409090210500,246.83
,2019-05,471310008130200,246.33
,2019-10,615100700,1248.04
,2019-10,615331700,146.18
,2019-04,614330200,150.44
,2019-05,611100507,139.68
,2019-10,171409090400400,206.37
,2019-10,615401000,48.96
,2019-10,461800010110101,90.05
,2019-05,471100063400700,1014.58
,2019-11,451100030330200,702.33
,2019-05,471100071610100,57.9
,2019-05,471100045600200,47.5
,2019-05,171100075409900,33.14
,2019-11,171406565331000,229.56
,2019-11,161200008810502,482.11
,2019-05,471100060400500,31.64
,2019-05,171409090400200,52.82
,2019-11,151200032810500,512.07
,2019-05,471100068400300,54.26
,2019-11,461800505520901,246.3
,2019-05,171406565409900,1.98
,2019-11,461800008110101,272.17
,2019-05,471100053330226,31.62
,2019-11,623211000,681.81
,2019-11,451900022330201,794.48
,2019-05,161800012130201,1.25
,2019-05,161800012301501,7.28
,2019-06,171615075130200,4214.59
,2019-06,151200016800300,22200.75
,2019-06,615100700,1209.72
,2019-06,461800018330201,1041.44
,2019-11,161200010800102,112.95
,2019-06,471100056130200,624.72
,2019-11,451100032409900,11.86
,2019-11,171407777210200,575.5
,2019-05,471100045400600,7.57
,2019-11,615100700,937.21
,2019-06,461800505110101,2113.61
,2019-06,461800605301201,920.03
,2019-11,4500058,879.84
,2019-11,614400500,830.7
,2019-05,161800007110101,2.44
,2019-11,451100036400500,25.44
,2019-06,451100025330200,791.12
,2019-06,461800505520901,172.32
,2019-06,461800008400301,69.48
,2019-11,451100028400500,65.37
,2019-06,461800010400301,162.93
,2019-06,451100025400300,397.19
,2019-11,614210100,38043.59
,2019-06,171409090100500,89.92
,2019-05,151100025330200,48.85
,2019-06,451100036600200,3.43
,2019-06,6313101,121196.37
,2019-06,161200008800102,519.73
,2019-06,451100040400700,623.99
,2019-11,614700200,119.12
,2019-06,611100707,146.78
,2019-06,471100053401000,23.38
,2019-06,151200016810500,550.49
,2019-06,451100036400700,315.63
,2019-06,171100085400700,316.99
,2019-06,471100050130200,675.98
,2019-06,171407575210200,27.26
,2019-11,171409090330200,302.22
,2019-06,171406565350100,407.83
,2019-06,451900028330201,92.26
,2019-06,6211411,1888.28
,2019-06,161200008800103,22.72
,2019-06,6211912,460.96
,2019-06,613040000,296.97
,2019-11,171407777400500,29.94
,2019-06,171100090400200,14.65
,2019-06,471100053400700,236.47
,2019-06,611100716,529.54
,2019-06,461800008110101,214.24
,2019-06,161200012800103,28.89
,2019-04,6311301,10355.4
,2019-04,171100080400700,43.16
,2019-04,613050100,120.22
,2019-04,171100071301500,4.66
,2019-04,451900020330201,140.78
,2019-04,171407777100400,80.5
,2019-04,161800010330201,87.81
,2019-04,6219105,43.2
,2019-11,461800505520501,501.73
,2019-04,151200028800300,194.92
,2019-04,614100500,122.58
,2019-04,613040000,284.45
,2019-04,612100516,66.68
,2019-04,451100020301500,58.26
,2019-04,4500057,196.32
,2019-04,614400300,28.12
,2019-04,461800000030010,141.1
,2019-04,471100056605100,4.92
,2019-04,612050007,30.0
,2019-04,461800010110101,319.84
,2019-04,461800505500201,2.1
,2019-04,451100040610300,99.83
,2019-10,451100042400300,294.94
,2019-04,171409090400200,69.8
,2019-04,451100023710100,192.28
,2019-10,451900022330201,580.85
,2019-10,461800012325201,99.02
,2019-04,171100075330200,12.36
,2019-04,451900020400301,2.13
,2019-04,171100075400700,34.93
,2019-05,451100032600200,3.24
,2019-04,613400404,187.06
,2019-06,471100053331700,106.54
,2019-04,161800006301201,2.4
,2019-10,461800505500501,52.08
,2019-10,461800007301601,151.36
,2019-10,471100045600200,156.43
,2019-10,471104605330200,152.67
,2019-06,171100075400300,157.09
,2019-06,161200008810501,76.66
,2019-10,171100080400700,295.96
,2019-06,171409090410300,45.9
,2019-06,451900032301501,149.74
,2019-06,471100068400700,89.55
,2019-06,471100053600100,37.08
,2019-06,614400500,280.94
,2019-06,451100032401000,15.57
,2019-06,471100063410200,141.43
,2019-10,471100060331600,18.99
,2019-07,471100058400300,247.27
,2019-07,471309008130200,412.19
,2019-07,471100063400500,143.13
,2019-07,161200010800301,4659.33
,2019-07,161200012800101,3529.87
,2019-06,171407777409900,114.0
,2019-07,6211610,1026.56
,2019-07,471307508130200,1060.24
,2019-07,461800018301501,56.36
,2019-07,471100068330200,216.27
,2019-06,461800605301301,43.94
,2019-07,471100053400300,637.58
,2019-07,171406565400500,909.47
,2019-07,614100400,1507.52
,2019-07,461800014400301,126.34
,2019-07,171407777330800,512.95
,2019-07,471100056330200,318.24
,2019-07,614400500,302.52
,2019-07,171406565400300,818.29
,2019-07,161200012810502,216.71
,2019-07,471100053400700,16.93
,2019-07,614410300,2.15
,2019-07,171620075130205,31.76
,2019-07,461800505520201,1381.72
,2019-07,471100045332000,198.64
,2019-07,471100063400700,181.91
,2019-07,461800007520701,288.54
,2019-07,471100056400200,33.92
,2019-07,461800605110101,681.01
,2019-07,461800505520901,99.02
