Unnamed: 0,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT)
,May,451100036400700,380.65
,May,171612565130200,3251.36
,May,471307508130200,1151.56
,May,171409090410100,188.1
,May,611100716,1178.28
,May,151200032800300,9871.69
,May,171409090210100,5764.11
,May,471100060400700,6.08
,May,171407777400400,116.39
,May,171409090400300,698.51
,May,161200008800101,6117.53
,April,461800505520501,703.95
,May,471100053600200,117.76
,May,161200008120201,2336.72
,April,451100032330200,2424.38
,May,451100025130200,1209.88
,April,471100063330226,62.7
,May,471100071130200,561.71
,April,171407777350100,334.28
,April,471100050330200,1281.77
,April,471100068330200,370.5
,April,171407777100700,11788.89
,April,471100056400700,145.94
,April,171407777400300,585.6
,April,171409090400300,789.47
,April,471100056130200,554.23
,November,151200025800300,22887.84
,November,461800505301201,10251.32
,November,461800018330201,1968.65
,April,615100716,494.36
,November,6211601,3050.36
,November,6321309,2895.62
,April,615100700,463.1
,April,6211900,791.76
,April,6321306,1224.36
,April,6321309,3231.7
,April,169900000999999,56.54
,April,171100071330200,96.7
,April,171100080400300,227.3
,May,461800007530101,877.94
,April,171406565350100,349.58
,May,612100716,934.23
,April,471100045409900,101.3
,May,461800012330201,551.9
,November,4500023,1249.08
,November,461800016400301,528.68
,November,171612565130200,4112.75
,May,171612565130205,75.74
,November,471100045400300,1152.48
,November,171409090400300,983.19
,April,471307506130200,697.03
,May,171407777400300,800.8
,May,6211601,1606.54
,November,471104605400300,165.92
,May,6211610,652.42
,May,6311304,2035.9
,April,451100028130200,583.46
,May,451900022400301,59.08
,November,471309006130200,580.74
,November,6324302,14828.05
,April,161200012810503,2.38
,October,461800020330201,139.8
,October,151200025800300,19431.92
,October,161200010800303,255.98
,May,461800018330201,409.51
,October,461800012400301,123.5
,May,451900020330201,116.39
,May,461800505301301,192.11
,May,451900028310101,25.1
,October,6313101,114991.07
,May,471100068330200,289.08
,October,171407777350100,225.94
,May,461800008520501,4.2
,May,461800016400701,178.03
,October,471100053331700,124.2
,May,171407777330800,491.77
,October,461800505110101,2121.12
,October,461800016310201,346.75
,May,151200025810500,590.56
,May,161200008800303,367.38
,April,151200036800300,647.53
,May,171100075400300,31.16
,October,614400700,10.72
,May,615100600,216.88
,April,171409090210500,246.83
,May,471310008130200,246.33
,October,615100700,1248.04
,October,615331700,146.18
,April,614330200,150.44
,May,611100507,139.68
,October,171409090400400,206.37
,October,615401000,48.96
,October,461800010110101,90.05
,May,471100063400700,1014.58
,November,451100030330200,702.33
,May,471100071610100,57.9
,May,471100045600200,47.5
,May,171100075409900,33.14
,November,171406565331000,229.56
,November,161200008810502,482.11
,May,471100060400500,31.64
,May,171409090400200,52.82
,November,151200032810500,512.07
,May,471100068400300,54.26
,November,461800505520901,246.3
,May,171406565409900,1.98
,November,461800008110101,272.17
,May,471100053330226,31.62
,November,623211000,681.81
,November,451900022330201,794.48
,May,161800012130201,1.25
,May,161800012301501,7.28
,June,171615075130200,4214.59
,June,151200016800300,22200.75
,June,615100700,1209.72
,June,461800018330201,1041.44
,November,161200010800102,112.95
,June,471100056130200,624.72
,November,451100032409900,11.86
,November,171407777210200,575.5
,May,471100045400600,7.57
,November,615100700,937.21
,June,461800505110101,2113.61
,June,461800605301201,920.03
,November,4500058,879.84
,November,614400500,830.7
,May,161800007110101,2.44
,November,451100036400500,25.44
,June,451100025330200,791.12
,June,461800505520901,172.32
,June,461800008400301,69.48
,November,451100028400500,65.37
,June,461800010400301,162.93
,June,451100025400300,397.19
,November,614210100,38043.59
,June,171409090100500,89.92
,May,151100025330200,48.85
,June,451100036600200,3.43
,June,6313101,121196.37
,June,161200008800102,519.73
,June,451100040400700,623.99
,November,614700200,119.12
,June,611100707,146.78
,June,471100053401000,23.38
,June,151200016810500,550.49
,June,451100036400700,315.63
,June,171100085400700,316.99
,June,471100050130200,675.98
,June,171407575210200,27.26
,November,171409090330200,302.22
,June,171406565350100,407.83
,June,451900028330201,92.26
,June,6211411,1888.28
,June,161200008800103,22.72
,June,6211912,460.96
,June,613040000,296.97
,November,171407777400500,29.94
,June,171100090400200,14.65
,June,471100053400700,236.47
,June,611100716,529.54
,June,461800008110101,214.24
,June,161200012800103,28.89
,April,6311301,10355.4
,April,171100080400700,43.16
,April,613050100,120.22
,April,171100071301500,4.66
,April,451900020330201,140.78
,April,171407777100400,80.5
,April,161800010330201,87.81
,April,6219105,43.2
,November,461800505520501,501.73
,April,151200028800300,194.92
,April,614100500,122.58
,April,613040000,284.45
,April,612100516,66.68
,April,451100020301500,58.26
,April,4500057,196.32
,April,614400300,28.12
,April,461800000030010,141.1
,April,471100056605100,4.92
,April,612050007,30.0
,April,461800010110101,319.84
,April,461800505500201,2.1
,April,451100040610300,99.83
,October,451100042400300,294.94
,April,171409090400200,69.8
,April,451100023710100,192.28
,October,451900022330201,580.85
,October,461800012325201,99.02
,April,171100075330200,12.36
,April,451900020400301,2.13
,April,171100075400700,34.93
,May,451100032600200,3.24
,April,613400404,187.06
,June,471100053331700,106.54
,April,161800006301201,2.4
,October,461800505500501,52.08
,October,461800007301601,151.36
,October,471100045600200,156.43
,October,471104605330200,152.67
,June,171100075400300,157.09
,June,161200008810501,76.66
,October,171100080400700,295.96
,June,171409090410300,45.9
,June,451900032301501,149.74
,June,471100068400700,89.55
,June,471100053600100,37.08
,June,614400500,280.94
,June,451100032401000,15.57
,June,471100063410200,141.43
,October,471100060331600,18.99
,July,471100058400300,247.27
,July,471309008130200,412.19
,July,471100063400500,143.13
,July,161200010800301,4659.33
,July,161200012800101,3529.87
,June,171407777409900,114.0
,July,6211610,1026.56
,July,471307508130200,1060.24
,July,461800018301501,56.36
,July,471100068330200,216.27
,June,461800605301301,43.94
,July,471100053400300,637.58
,July,171406565400500,909.47
,July,614100400,1507.52
,July,461800014400301,126.34
,July,171407777330800,512.95
,July,471100056330200,318.24
,July,614400500,302.52
,July,171406565400300,818.29
,July,161200012810502,216.71
,July,471100053400700,16.93
,July,614410300,2.15
,July,171620075130205,31.76
,July,461800505520201,1381.72
,July,471100045332000,198.64
,July,471100063400700,181.91
,July,461800007520701,288.54
,July,471100056400200,33.92
,July,461800605110101,681.01
,July,461800505520901,99.02
,July,4500060,3637.86
,October,461800007301501,746.3
,July,171406565330200,94.98
,July,171406565210200,427.21
,July,451100042400300,128.43
,October,471100068400300,210.07
,July,461800505330201,1003.85
,September,171409090100700,1175.61
,September,451100028330200,1752.19
,September,451100032400700,276.08
,August,451100025400700,452.46
,August,461800007301201,862.28
,August,171409090400600,75.95
,August,471310008130200,561.78
,September,471307508130200,1486.78
,August,161200008800101,8955.65
,August,615100700,3904.79
,August,471100045400300,1373.57
,August,6211903,61.24
,August,451100032330200,3467.38
,August,451103305330200,179.0
,August,461800014330201,1023.13
,September,6313101,56649.58
,September,451100022400300,291.86
,September,461800008301201,759.06
,August,613400400,159.56
,August,471100053400700,135.26
,September,171620075130200,2208.08
,September,461800605301201,1293.37
,September,451100030400300,218.92
,September,451100030330200,693.58
,September,6211601,1499.04
,August,461800505520501,337.1
,August,981200016800100,2750.48
,July,614710200,81.97
,August,171100085330200,195.79
,August,451100028400200,35.35
,August,615600200,137.18
,August,461800018330201,764.59
,September,161200012800302,2571.46
,September,461800010301501,797.65
,August,171100080400300,210.36
,September,471104605400300,407.37
,August,461800605110101,514.19
,August,171100080400200,116.27
,August,461800008301501,496.13
,August,451100022400700,61.03
,July,981200016800100,250.21
,August,461800505520301,805.29
,September,461800010110101,277.49
,September,471100058400300,426.0
,August,615400300,143.18
,August,471104605330200,502.32
,August,451100020400900,63.71
,August,171409090700200,129.9
,August,171409090700300,52.38
,September,623211000,1149.8
,September,461800505400301,186.33
,September,171100085400700,331.73
,September,471100050400600,61.99
,August,451900028330201,67.05
,September,161200008120201,1569.12
,August,461800008530101,479.31
,August,461800008330201,71.31
,September,451100028130200,164.22
,September,171406565400500,634.03
,August,451900020330201,259.95
,September,615100716,532.16
,August,615210100,94.9
,September,471100063400700,129.11
,August,6211411,2094.22
,August,615331700,105.62
,September,471100050400700,101.43
,September,461800014400301,153.68
,August,471100045600200,56.28
,September,161200010800102,205.85
,August,171100075409900,42.72
,September,461800016310201,457.15
,September,171406565100500,118.89
,September,6321307,97.66
,July,169900000999999,9.77
,September,6313107,1715.64
,September,451100030400700,19.5
,October,471100060330200,357.39
,September,461800008325101,62.86
,August,4500020,734.92
,August,171407575400300,7.67
,July,461800505521001,204.2
,September,471100063130226,23.72
,August,461800007520701,179.28
,August,611050100,94.76
,September,471100056400200,12.49
,August,615330700,31.06
,August,451100036401000,65.43
